scaffold	type	Quality
NC_054672.1 Streptomyces phage Endor1, complete genome	lytic	high quality draft
NC_049485.1 Lactococcus phage CHPC958, complete genome	lytic	low quality draft
NC_021537.1 Halorubrum phage CGphi46 genomic sequence	lytic	medium quality draft
NC_051615.1 Mycobacterium phage Beezoo, complete genome	lysogenic	high quality draft
NC_047982.1 Ralstonia phage RPSC1, complete genome	lytic	high quality draft
NC_055765.1 Gordonia phage TillyBobJoe, complete genome	lysogenic	low quality draft
NC_027637.1 Gokushovirinae Bog8989_22, complete genome	lytic	low quality draft
NC_043767.1 Mycobacterium virus TA17a, complete genome	lytic	high quality draft
NC_031254.1 Arthrobacter phage Kitkat, complete genome	lytic	high quality draft
NC_042121.1 Pseudoalteromonas phage Cr39582, complete genome	lytic	medium quality draft
NC_031465.1 Golden Marseillevirus, complete genome_fragment_1	lysogenic	low quality draft
NC_031465.1 Golden Marseillevirus, complete genome_fragment_2	lysogenic	medium quality draft
NC_031465.1 Golden Marseillevirus, complete genome_fragment_3	lysogenic	low quality draft
NC_031465.1 Golden Marseillevirus, complete genome_fragment_4	lysogenic	low quality draft
NC_009898.1 Paramecium bursaria Chlorella virus NY2A, complete genome_fragment_1	lysogenic	low quality draft
NC_014767.1 Micromonas sp. RCC1109 virus MpV1, complete genome_fragment_1	lysogenic	low quality draft
NC_014649.1 Acanthamoeba polyphaga mimivirus, complete genome_fragment_5	lysogenic	medium quality draft
NC_030230.1 Tokyovirus A1 DNA, nearly complete genome_fragment_1	lysogenic	low quality draft
NC_032108.1 Cedratvirus A11 genome assembly, complete genome: monopartite_fragment_1	lysogenic	medium quality draft
NC_032108.1 Cedratvirus A11 genome assembly, complete genome: monopartite_fragment_2	lysogenic	low quality draft
NC_032108.1 Cedratvirus A11 genome assembly, complete genome: monopartite_fragment_5	lysogenic	low quality draft
NC_020232.1 Megavirus lba isolate LBA111, complete genome_fragment_2	lysogenic	low quality draft
NC_020232.1 Megavirus lba isolate LBA111, complete genome_fragment_4	lysogenic	medium quality draft
NC_028449.1 Escherichia phage PA2, complete genome	lysogenic	high quality draft
NC_025414.1 Citrobacter phage Miller, complete genome	lytic	high quality draft
NC_042065.1 Salmonella phage FSL SP-101, partial genome	lytic	low quality draft
NC_051721.1 Mycobacterium phage MooMoo, complete genome	lysogenic	low quality draft
NC_023728.1 Mycobacterium phage DeadP, complete genome	lysogenic	medium quality draft
NC_030930.1 Gordonia phage Bowser, complete genome	lysogenic	low quality draft
NC_008017.1 Sugarcane bacilliform Mor virus, complete genome	lytic	low quality draft
NC_048141.1 Gordonia phage Kenna, complete genome	lysogenic	low quality draft
NC_052432.1 Mycobacterium phage HarryOW, complete genome	lytic	high quality draft
NC_026600.1 Pseudomonas phage vB_PaeM_C1-14_Ab28, complete genome	lytic	high quality draft
NC_047793.1 Streptomyces phage PapayaSalad, complete genome	lytic	high quality draft
NC_047844.1 Serratia phage 2050H2, complete genome	lytic	high quality draft
NC_031230.1 Gordonia phage Yvonnetastic, complete genome	lysogenic	high quality draft
NC_008723.1 Staphylococcus phage PH15, complete genome	lytic	high quality draft
NC_048653.1 Pectobacterium phage vB_PatP_CB1, complete genome	lytic	high quality draft
NC_027622.1 Propionibacterium phage Stormborn, complete genome	lytic	high quality draft
NC_051591.1 Mycobacterium phage Taquito, complete genome	lysogenic	medium quality draft
NC_031063.1 Pseudomonas phage PEV2, complete genome	lytic	high quality draft
NC_048163.1 Phage NC-A, complete genome	lytic	high quality draft
NC_031046.1 Staphylococcus phage BP39, complete genome	lytic	medium quality draft
NC_024386.1 Leuconostoc phage phiLN25, complete genome	lytic	medium quality draft
NC_048697.1 Pseudomonas phage Littlefix, complete genome	lytic	high quality draft
NC_028889.1 Mycobacterium phage Florinda, complete genome	lysogenic	medium quality draft
NC_031043.1 Erwinia phage vB_EamM_Phobos, complete genome	lytic	high quality draft
NC_027337.1 Escherichia phage vB_EcoM-VpaE1, complete genome	lytic	high quality draft
NC_011048.1 Bacillus phage phi29, complete genome	lytic	high quality draft
NC_034624.1 Sulfolobus islandicus rod-shaped virus 11, partial genome	lytic	low quality draft
NC_049447.1 Lactococcus phage MV10L, complete genome	lytic	low quality draft
NC_034625.1 Sulfolobus islandicus rod-shaped virus 10, partial genome	lytic	low quality draft
NC_047703.1 Uncultured phage_MedDCM-OCT-S30-C28 DNA, complete genome, group G8, isolate: uvMED-CGR-U-MedDCM-OCT-S30-C28	lysogenic	high quality draft
NC_041856.1 Streptomyces phage phiCAM, complete genome	lytic	high quality draft
NC_027296.1 Rhizobium phage RHEph06, complete genome	lytic	high quality draft
NC_026596.1 Mycobacterium phage Inventum, complete genome	lysogenic	medium quality draft
NC_049473.1 Arthrobacter phage Kuleana, complete genome	lysogenic	high quality draft
NC_002362.1 Vibrio phage VfO3K6, complete genome	lytic	low quality draft
NC_027363.1 Proteus phage PM 75, complete genome	lytic	high quality draft
NC_028987.2 Acinetobacter phage IME200, complete genome	lytic	high quality draft
NC_053004.1 Salmonella phage TS13, complete genome	lytic	high quality draft
NC_047979.1 Escherichia phage Gostya9, complete genome	lytic	high quality draft
NC_052469.1 Mycobacterium phage Traft412, complete genome	lytic	high quality draft
NC_053503.1 Mycobacterium phage Laurie, complete genome	lytic	high quality draft
NC_000896.1 Lactobacillus prophage phiadh, complete genome	lysogenic	high quality draft
NC_025429.1 Rhizobium phage vB_RleM_P10VF, complete genome	lytic	high quality draft
NC_027352.1 Bacillus phage JBP901, complete genome	lytic	high quality draft
NC_013599.1 Xylella phage Xfas53, complete genome	lysogenic	high quality draft
NC_042029.1 Edwardsiella phage eiAU, complete genome	lytic	medium quality draft
NC_010324.1 Escherichia phage phiEco32, complete genome	lytic	high quality draft
NC_055886.1 CrAssphage cr127_1, complete genome	lytic	low quality draft
NC_055767.1 Gordonia phage KidneyBean, complete genome	lytic	high quality draft
NC_019912.1 Bacillus phage vB_BtS_BMBtp2, complete genome	lytic	medium quality draft
NC_048122.1 Vibrio phage 1.188.A._10N.286.51.A6, partial genome	lytic	high quality draft
NC_006936.1 Lactobacillus phage phiJL-1, complete genome	lytic	high quality draft
NC_047821.1 Marinomonas phage CPP1m, complete genome	lytic	high quality draft
NC_001900.2 Mycobacterium virus D29, complete genome	lysogenic	high quality draft
NC_011055.1 Mycobacterium phage Porky, complete genome	lysogenic	high quality draft
NC_042353.1 Salinibacter virus SRUTV-1, partial genome	lytic	medium quality draft
NC_048116.1 Pectobacterium phage Clickz, complete genome	lytic	high quality draft
NC_029058.1 Lactobacillus phage LfeInf, complete genome	lytic	high quality draft
NC_004617.1 Staphylococcus prophage phi 13, complete genome	lysogenic	medium quality draft
NC_047777.1 Escherichia phage ZG49, complete genome	lytic	high quality draft
NC_009819.1 Streptococcus phage P9, complete genome	lysogenic	high quality draft
NC_008694.1 Yersinia phage Berlin, complete genome	lytic	high quality draft
NC_007054.1 Staphylococcus phage 47, complete genome	lysogenic	medium quality draft
NC_028794.1 Mycobacterium phage Piro94, complete genome	lysogenic	high quality draft
NC_047843.1 Leclercia phage 10164-302, complete genome	lytic	high quality draft
NC_048110.1 Salmonella phage Seafire, complete genome	lytic	high quality draft
NC_031082.1 Escherichia phage vB_EcoM_Alf5, complete genome	lytic	high quality draft
NC_030947.1 Clostridium phage phiCT19406B, complete genome	lytic	medium quality draft
NC_042319.1 Mycobacterium virus Ibhubesi, complete genome	lysogenic	medium quality draft
NC_030903.1 Bacillus phage SPG24 DNA, contig00001 sequence	lytic	high quality draft
NC_019456.1 Lactobacillus phage JCL1032, complete genome	lysogenic	high quality draft
NC_047924.1 Lactobacillus phage Bacchae, complete genome	lytic	high quality draft
NC_052428.1 Mycobacterium phage Crispicous1, complete genome	lytic	high quality draft
NC_048125.1 Vibrio phage 1.261.O._10N.286.51.A7, partial genome	lytic	high quality draft
NC_028680.1 Mycobacterium phage Pepe, complete genome	lytic	high quality draft
NC_047911.1 Faecalibacterium phage FP_Lagaffe, complete genome	lytic	high quality draft
NC_047905.1 Streptomyces phage Attoomi, complete genome	lytic	high quality draft
NC_024380.1 Leuconostoc phage phiLN6B, complete genome	lytic	medium quality draft
NC_047872.1 Listeria phage LMTA-94, complete genome	lytic	high quality draft
NC_048865.1 Salmonella phage oldekolle, complete genome	lytic	high quality draft
NC_055866.1 Enterococcus phage AE4_17, complete genome	lytic	high quality draft
NC_028700.1 Streptococcus phage T12, complete genome	lysogenic	high quality draft
NC_051583.1 Mycobacterium phage Saguaro, complete genome	lytic	high quality draft
NC_018840.1 Propionibacterium phage P100_1, complete genome	lytic	high quality draft
NC_005258.1 Bacillus phage Bam35c, complete genome	lytic	medium quality draft
NC_012697.1 Roseophage DSS3P2, complete genome	lytic	high quality draft
NC_048045.1 Caulobacter phage CcrBL10, complete genome	lysogenic	high quality draft
NC_025458.1 Shewanella sp. phage 1/41, complete genome	lytic	high quality draft
NC_042021.1 Enterococcus phage phiSHEF2, complete genome	lytic	high quality draft
NC_007022.1 Aeromonas phage 31, complete genome	lytic	high quality draft
NC_048679.1 Leptospira phage LE4, complete genome	lytic	medium quality draft
NC_048634.1 Staphylococcus phage P282, complete genome	lysogenic	medium quality draft
NC_031040.1 Lactococcus phage 50101, complete genome	lysogenic	high quality draft
NC_007456.1 Enterobacteria phage K1F, complete genome	lytic	high quality draft
NC_048831.1 Flavobacterium phage vB_FspS_filifjonk9-1, complete genome	lytic	high quality draft
NC_016650.1 Rhodococcus phage RGL3, complete genome	lytic	high quality draft
NC_019911.2 Yersinia phage phi80-18 complete genome	lytic	high quality draft
NC_049944.1 Stx2-converting phage Stx2a_WGPS8 proviral DNA, complete genome	lysogenic	high quality draft
NC_042033.1 Mycobacterium phage Send513, complete sequence	lytic	high quality draft
NC_021772.1 Salmonella phage FSL SP-058, complete genome	lytic	high quality draft
NC_004348.1 Enterobacteria phage ST64T, complete genome	lysogenic	high quality draft
NC_048158.1 Halorubrum pleomorphic virus 11, complete genome	lytic	low quality draft
NC_031039.1 Bacillus phage AR9, complete genome	lytic	high quality draft
NC_051616.1 Mycobacterium phage Bella96, complete genome	lysogenic	high quality draft
NC_048876.1 Gordonia phage Secretariat, complete genome	lytic	medium quality draft
NC_022970.1 Pseudomonas phage PAK_P3, complete genome	lytic	high quality draft
NC_041975.1 Erwinia phage vB_EamM_Special G, complete genome	lytic	high quality draft
NC_049927.1 Microbacterium phage McGalleon, complete genome	lytic	medium quality draft
NC_054899.1 Citrobacter phage vB_CroM_CrRp10, complete genome	lytic	high quality draft
NC_020872.1 Cyanophage SS120-1 genomic sequence	lysogenic	high quality draft
NC_009884.1 Acidianus filamentous virus 2, complete genome	lytic	low quality draft
NC_054664.1 Streptomyces phage Amethyst, complete genome	lytic	high quality draft
NC_011272.1 Mycobacterium phage Rizal, complete genome	lytic	high quality draft
NC_030122.1 Sheep faeces associated smacovirus 2 isolate 47_Fec60415_sheep, complete sequence	lytic	low quality draft
NC_006953.1 Listonella phage phiHSIC, complete genome	lytic	low quality draft
NC_024390.1 Leuconostoc phage phiLN03, complete genome	lytic	medium quality draft
NC_047992.1 Microbacterium phage Zeta1847, complete genome	lytic	high quality draft
NC_004112.1 Lactobacillus phage A2, complete genome	lysogenic	high quality draft
NC_048151.1 UNVERIFIED: Vibrio phage VspSw_1, complete genome	lytic	high quality draft
NC_028905.1 Clostridium phage phiCD111, complete genome	lysogenic	high quality draft
NC_011165.1 Pseudomonas phage LBL3, complete genome	lytic	high quality draft
NC_047910.1 Faecalibacterium phage FP_Epona, complete genome	lytic	medium quality draft
NC_015252.1 Brochothrix phage NF5, complete genome	lysogenic	high quality draft
NC_028673.1 Gordonia phage GMA7, complete genome	lytic	high quality draft
NC_048018.1 Gordonia phage Apricot, complete genome	lysogenic	medium quality draft
NC_028974.1 Streptomyces phage YDN12, complete genome	lytic	high quality draft
NC_029009.1 Enterococcus phage EFDG1, complete genome	lytic	high quality draft
NC_051585.1 Mycobacterium phage CRB2, complete genome	lytic	high quality draft
NC_048786.1 Salmonella phage SE11, complete genome	lytic	high quality draft
NC_048771.1 Aeromonas phage 4_L372D, complete genome	lytic	high quality draft
NC_021775.1 Salmonella phage FSL SP-031, complete genome	lytic	medium quality draft
NC_049475.1 Lactococcus phage P656, complete genome	lytic	low quality draft
NC_023605.1 Vibrio phage PVA1, complete genome	lytic	high quality draft
NC_005131.2 Ralstonia phage p12J, complete genome	lytic	low quality draft
NC_034623.1 Sulfolobus islandicus rod-shaped virus 8, partial genome	lytic	low quality draft
NC_055728.1 Serratia phage X20, complete genome	lytic	high quality draft
NC_029008.1 Bacillus phage phi4J1, complete genome	lysogenic	medium quality draft
NC_055745.1 Gordonia phage Petra, complete genome	lysogenic	low quality draft
NC_051595.1 Mycobacterium phage Paola, complete genome	lytic	high quality draft
NC_052650.1 Halobacterium phage phiH variant phiH1, complete genome	lysogenic	medium quality draft
NC_007808.1 Pseudomonas phage PA11, complete genome	lytic	high quality draft
NC_026167.1 Sewage-associated gemycircularvirus-2 isolate BS3911, complete sequence	lytic	low quality draft
NC_052659.1 Escherichia phage nieznany, complete genome	lytic	high quality draft
NC_052461.1 Mycobacterium phage Rutherferd, complete genome	lytic	high quality draft
NC_048152.1 Arthrobacter phage Sonali, complete genome	lysogenic	medium quality draft
NC_048137.1 Pantoea phage vB_PagS_AAS23, complete genome	lytic	high quality draft
NC_049853.1 Escherichia phage Henu8, complete genome	lytic	high quality draft
NC_010537.1 Acidianus filamentous virus 9, complete genome	lytic	low quality draft
NC_048048.2 Caulobacter phage CcrSC, complete genome	lysogenic	high quality draft
NC_029026.1 Enterococcus phage EFLK1, complete genome	lytic	high quality draft
NC_041942.1 Arthrobacter phage Joann, complete genome	lytic	high quality draft
NC_055714.1 Mycobacterium phage Fortunato, complete genome	lytic	high quality draft
NC_019489.1 Lactobacillus phage Sha1, complete genome	lysogenic	high quality draft
NC_004913.3 Stx1 converting phage DNA, complete genome	lysogenic	medium quality draft
NC_031252.1 Arthrobacter phage BarretLemon, complete genome	lytic	high quality draft
NC_055829.1 Vibrio phage Bennett, complete genome	lytic	high quality draft
NC_013648.1 Enterococcus phage phiFL3A, complete genome	lytic	high quality draft
NC_055004.1 Lactococcus phage vB_Llc_bIBBp6/4, complete genome	lytic	medium quality draft
NC_006938.1 Phage phiJL001, complete genome	lytic	high quality draft
NC_005833.1 Enterobacteria phage T1, complete genome	lytic	high quality draft
NC_034619.1 Sulfolobus islandicus rod-shaped virus 7, partial genome	lytic	low quality draft
NC_049509.1 Salmonella phage P46FS4, complete genome	lytic	high quality draft
NC_049807.1 Lactococcus phage AM6, complete genome	lytic	medium quality draft
NC_054910.1 Escherichia phage EcNP1, complete genome	lytic	high quality draft
NC_055707.1 Mycobacterium phage HC DNA, complete genome	lytic	medium quality draft
NC_028976.1 Streptomyces phage Izzy, complete genome	lytic	high quality draft
NC_047841.1 Klebsiella phage KPN N141, complete genome	lytic	high quality draft
NC_018848.1 Streptomyces phage SV1, complete genome	lytic	high quality draft
NC_011290.1 Mycobacterium phage Gumball, complete genome	lytic	high quality draft
NC_041921.1 Dinoroseobacter phage vB_DshS-R5C, complete genome	lytic	high quality draft
NC_048189.1 Rheinheimera phage vB_RspM_Barba18A, complete genome	lytic	high quality draft
NC_028821.1 Staphylococcus phage StB20-like, complete genome	lysogenic	high quality draft
NC_023597.1 Mycobacterium phage 20ES, complete genome	lytic	high quality draft
NC_047927.1 Escherichia phage YZ1, complete genome	lytic	high quality draft
NC_047700.1 Uncultured phage_MedDCM-OCT-S37-C6 DNA, complete genome, group G9, isolate: uvMED-CGR-C79-MedDCM-OCT-S37-C6	lysogenic	high quality draft
NC_012418.1 Pseudomonas phage phikF77, complete genome	lytic	high quality draft
NC_049937.1 Enterococcus phage Idefix genome assembly, chromosome: IDF	lytic	high quality draft
NC_030950.1 Clostridium phage phiCT19406A, complete genome	lytic	medium quality draft
NC_031128.1 Salmonella phage vB_SalM_PM10, complete genome	lytic	high quality draft
NC_025455.1 Synechococcus phage S-CBP2, complete genome	lysogenic	high quality draft
NC_024142.2 Enterobacteria phage Bp4, complete genome	lytic	high quality draft
NC_027351.1 Salmonella phage SSE-121, complete genome	lytic	high quality draft
NC_041904.1 Pseudomonas phage Zigelbrucke, complete genome	lytic	high quality draft
NC_047913.1 Faecalibacterium phage FP_Mushu, complete genome	lytic	high quality draft
NC_020874.1 Prochlorococcus phage P-SSP3 genomic sequence	lysogenic	high quality draft
NC_047711.1 Uncultured phage_MedDCM-OCT-S28-C10 DNA, complete genome, group G8, isolate: uvMED-CGR-C62A-MedDCM-OCT-S28-C10	lysogenic	high quality draft
NC_053236.1 Gordonia phage YorkOnyx, complete genome	lytic	low quality draft
NC_007049.1 Staphylococcus phage 53, complete genome	lytic	high quality draft
NC_023722.1 Rhodococcus phage ReqiPine5, complete genome	lytic	high quality draft
NC_019769.1 Enterobacteria phage HK542, complete genome	lysogenic	high quality draft
NC_047891.1 Gordonia phage BENtherdunthat, complete genome	lysogenic	medium quality draft
NC_020079.1 Escherichia phage phAPEC8, complete genome	lytic	high quality draft
NC_055901.1 CrAssphage cr130_1, complete genome	lytic	low quality draft
NC_031258.1 Salmonella phage BP12A, complete genome	lytic	high quality draft
NC_007458.1 Bacillus phage Gamma, complete genome	lytic	high quality draft
NC_051600.1 Mycobacterium phage Bryler, complete genome	lysogenic	high quality draft
NC_047726.1 Staphylococcus phage MSA6, complete genome	lytic	high quality draft
NC_052980.1 Proteus phage ASh-2020a, complete genome	lytic	high quality draft
NC_039059.1 Chicken associated huchismacovirus 1, complete genome	lytic	low quality draft
NC_054934.1 Escherichia phage teqskov, complete genome	lytic	high quality draft
NC_048763.1 Salmonella phage SE13, complete genome	lytic	high quality draft
NC_011523.1 Bacillus phage AP50, complete genome	lytic	medium quality draft
NC_041974.1 Erwinia phage vB_EamM_Simmy50, complete genome	lytic	high quality draft
NC_017674.1 Pseudomonas phage JG024, complete genome	lytic	high quality draft
NC_052984.1 Aeromonas phage vB_AhyS-A18P4, complete genome	lytic	high quality draft
NC_048109.1 Pseudomonas phage Dobby, complete genome	lysogenic	low quality draft
NC_048198.1 Erwinia phage vB_EhrS_59, complete genome	lysogenic	high quality draft
NC_047987.1 Microbacterium phage MementoMori, complete genome	lytic	medium quality draft
NC_010576.1 Lactococcus phage 1706, complete genome	lytic	medium quality draft
NC_008202.2 Mycobacterium phage Halo, complete genome	lysogenic	low quality draft
NC_024366.1 Mycobacterium phage OkiRoe, complete genome	lytic	high quality draft
NC_028851.1 Paenibacillus phage Fern, complete genome	lysogenic	high quality draft
NC_048774.1 Aeromonas phage LAh_6, complete genome	lytic	high quality draft
NC_012749.1 Enterobacteria phage WV8, complete genome	lytic	high quality draft
NC_054445.1 Mycobacterium phage Mercurio, complete genome	lytic	low quality draft
NC_047971.1 Klebsiella virus KP32 isolate 196, complete genome	lytic	high quality draft
NC_041981.1 Klebsiella phage Miro, complete genome	lytic	high quality draft
NC_041907.1 Pseudomonas phage PA26, complete genome	lytic	high quality draft
NC_027647.1 Microviridae Fen7918_21, complete genome	lytic	low quality draft
NC_023701.1 Mycobacterium virus Acadian, complete genome	lytic	high quality draft
NC_054944.1 Yersinia phage PYPS2T, complete genome	lytic	high quality draft
NC_002628.3 Methanothermobacter wolfeii prophage psiM100, complete genome; flanked by Methanothermobacter wolfeii MTW1216 (mtw1216) and MTW1215 (mtw1215) genes, complete cds	lytic	low quality draft
NC_032974.1 Beihai weivirus-like virus 16 strain BHZY60618 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds	lytic	low quality draft
NC_055048.1 Staphylococcus phage phiSa2wa_st78, complete genome	lysogenic	medium quality draft
NC_010808.1 Staphylococcus phage phiMR25, complete genome	lysogenic	high quality draft
NC_054662.1 Streptomyces phage Omar, complete genome	lytic	high quality draft
NC_026611.1 Edwardsiella phage GF-2 DNA, complete sequence	lysogenic	high quality draft
NC_027395.1 Phage vB_EcoP_SU10, complete genome	lytic	high quality draft
NC_048843.1 Flavobacterium phage vB_FspS_tant8-1, complete genome	lytic	medium quality draft
NC_049363.1 Lactococcus phage 936 group phage Phi44, complete genome	lytic	low quality draft
NC_041873.1 Escherichia phage JMPW2, complete genome	lytic	high quality draft
NC_028652.1 Pseudomonas phage C11, complete genome	lytic	high quality draft
NC_023746.1 Mycobacterium phage GUmbie, complete genome	lysogenic	medium quality draft
NC_007061.1 Staphylococcus phage 29, complete genome	lysogenic	medium quality draft
NC_049975.1 Bacillus phage vB_BsuP-Goe1, complete genome	lytic	high quality draft
NC_042314.1 Mycobacterium virus PackMan, complete genome	lytic	high quality draft
NC_015586.1 Stenotrophomonas phage phiSHP2, complete genome	lytic	low quality draft
NC_011222.1 Bacteroides phage B40-8, complete genome	lytic	medium quality draft
NC_001629.1 Lactococcus phage bIL67, complete genome	lytic	high quality draft
NC_031905.1 Flavobacterium phage Fpv7, complete genome	lytic	medium quality draft
NC_055033.1 Arthrobacter phage Salgado, complete genome	lytic	high quality draft
NC_047814.1 Staphylococcus phage St 134, complete genome	lytic	medium quality draft
NC_002014.1 Enterobacteria phage Ike, complete genome	lytic	low quality draft
NC_001331.1 Pseudomonas phage Pf1, complete genome	lytic	low quality draft
NC_007046.1 Staphylococcus phage 66, complete genome	lytic	medium quality draft
NC_001335.1 Mycobacterium phage L5 complete genome	lysogenic	high quality draft
NC_048685.1 Streptomyces phage Manuel, complete genome	lytic	medium quality draft
NC_055116.1 Sulfolobus polyhedral virus 2 clone F, complete genome	lytic	low quality draft
NC_054679.1 Streptomyces phage Werner, complete genome	lytic	high quality draft
NC_051668.1 Mycobacterium phage Hlubikazi, complete genome	lysogenic	medium quality draft
NC_028926.1 Bacillus phage Palmer, complete genome	lytic	high quality draft
NC_054647.1 Salmonella phage Akira, complete genome	lytic	medium quality draft
NC_029071.1 Salmonella phage 36, complete genome	lytic	high quality draft
NC_049410.1 Lactococcus phage 66901, complete genome	lytic	low quality draft
NC_048121.1 Vibrio phage 1.169.O._10N.261.52.B1, partial genome	lytic	high quality draft
NC_047755.1 Yersinia phage phiYe-F10, complete genome	lytic	high quality draft
NC_028934.1 Mycobacterium phage Vincenzo, complete genome	lytic	high quality draft
NC_061442.1 Erwinia phage pEa_SNUABM_35, complete genome	lytic	high quality draft
NC_019405.1 Caulobacter phage phiCbK, complete genome	lysogenic	high quality draft
NC_027982.1 Lactobacillus phage phiPYB5, complete genome	lytic	high quality draft
NC_054965.1 Klebsiella phage LASTA, complete genome	lytic	low quality draft
NC_015288.1 Prochlorococcus phage Syn1, complete genome	lytic	high quality draft
NC_034248.1 Rhizobium phage RHEph10, complete genome	lytic	high quality draft
NC_027132.1 Synechococcus phage ACG-2014i isolate Syn7803US120, complete genome	lytic	high quality draft
NC_048735.1 Bacillus phage vB_BboS-125, complete genome	lytic	high quality draft
NC_054146.1 Ralstonia phage phiRSP, complete genome	lysogenic	high quality draft
NC_027293.1 Citrobacter phage Moogle, complete genome	lytic	high quality draft
NC_041973.1 Erwinia phage vB_EamM_RAY, complete genome	lytic	high quality draft
NC_009234.1 Burkholderia phage phiE202 chromosome, complete genome	lysogenic	medium quality draft
NC_031902.1 Salmonella phage 100268_sal2, complete genome	lytic	high quality draft
NC_020879.1 Aeromonas phage Aes012, complete genome	lytic	high quality draft
NC_031014.1 Pseudomonas phage Andromeda, complete genome	lytic	high quality draft
NC_007051.1 Staphylococcus phage 2638A, complete genome	lysogenic	medium quality draft
NC_009232.2 Salmonella phage SETP3, complete genome	lytic	low quality draft
NC_041916.1 Vibrio phage pTD1 DNA, complete genome	lytic	high quality draft
NC_028656.1 Enterobacteria phage VT2phi_272, complete sequence	lysogenic	high quality draft
NC_028847.1 Enterobacteria phage QL01, complete genome	lytic	high quality draft
NC_028766.1 Mannheimia phage vB_MhM_3927AP2, complete genome	lytic	high quality draft
NC_042137.1 Acinetobacter phage vB_AbaS_Loki genome assembly, complete genome: monopartite	lytic	high quality draft
NC_042115.1 Pseudomonas phage vB_PaeS_PAO1_Ab19, complete genome	lytic	medium quality draft
NC_049418.1 Lactococcus phage LP9404, complete genome	lytic	low quality draft
NC_055571.1 Homarus gammarus nudivirus isolate 52S104HLG2, complete genome	lysogenic	low quality draft
NC_008617.1 Staphylococcus phage phiNM3, complete genome	lysogenic	high quality draft
NC_048874.1 Escherichia phage EC6098, complete genome	lytic	low quality draft
NC_052463.1 Mycobacterium phage Sibs6, complete genome	lytic	high quality draft
NC_028946.1 Mycobacterium phage Dante, complete genome	lysogenic	medium quality draft
NC_012740.1 Enterobacteria phage JSE, complete genome	lytic	high quality draft
NC_048036.1 Vibrio phage vB_VpaP_KF2, complete genome	lytic	high quality draft
NC_049428.1 Salmonella phage Mutine, complete genome	lytic	high quality draft
NC_030905.1 Gordonia phage Woes, complete genome	lytic	high quality draft
NC_050144.1 Pseudomonas phage Epa14, complete genome	lytic	high quality draft
NC_052940.1 Microbacterium phage BonaeVitae, complete genome	lytic	low quality draft
NC_027993.1 Escherichia phage K1G, complete genome	lytic	medium quality draft
NC_007047.1 Staphylococcus phage 187, complete genome	lysogenic	medium quality draft
NC_012757.1 Vibrio phage VEJphi, complete genome	lytic	low quality draft
NC_028755.1 Citrobacter phage Margaery, complete genome	lytic	high quality draft
NC_013600.1 Sodalis phage SO-1, complete genome	lytic	low quality draft
NC_048724.1 Streptomyces phage Karimac, complete genome	lytic	high quality draft
NC_042341.1 Mycobacterium virus Rebeuca, complete genome	lytic	high quality draft
NC_048661.1 Clostridium phage CPS1, complete genome	lytic	medium quality draft
NC_048195.1 Escherichia phage vB_EcoM_WFC, complete genome	lytic	high quality draft
NC_048078.1 Escherichia phage N30, complete genome	lytic	high quality draft
NC_013021.1 Cyanophage PSS2, complete genome	lytic	high quality draft
NC_029093.1 Mycobacterium phage Mindy, complete genome	lysogenic	high quality draft
NC_047953.1 Pseudomonas phage vB_PaeP_130_113, complete genome	lytic	high quality draft
NC_041849.1 Streptomyces phage phiELB20, complete genome	lytic	high quality draft
NC_049413.1 Lactococcus phage 96401, complete genome	lytic	low quality draft
NC_048672.1 Lentibacter virus vB_LenP_ICBM1, complete genome	lytic	high quality draft
NC_051698.1 Mycobacterium phage Pippy, complete genome	lysogenic	medium quality draft
NC_021190.1 Enterobacteria phage phi80, complete genome	lysogenic	high quality draft
NC_026597.1 Mycobacterium phage Sparky, complete genome	lysogenic	medium quality draft
NC_049828.1 Escherichia phage haarsle, complete genome	lytic	high quality draft
NC_055821.1 Gordonia phage NadineRae, complete genome	lytic	high quality draft
NC_054639.1 Salmonella phage Skate, complete genome	lytic	high quality draft
NC_048796.1 Panteoa phage Kyle, complete genome	lytic	high quality draft
NC_051599.1 Mycobacterium phage Unicorn, complete genome	lysogenic	high quality draft
NC_047751.1 Ralstonia phage phiITL-1, complete genome	lytic	high quality draft
NC_048093.1 Arthrobacter phage DrManhattan, complete genome	lytic	high quality draft
NC_023596.1 Pseudomonas phage SPM-1, complete genome	lytic	high quality draft
NC_049372.1 Roseobacter phage RD-1410W1-01, partial genome	lytic	high quality draft
NC_055018.1 Lactococcus phage PC_S1, complete genome	lytic	high quality draft
NC_028792.1 Mycobacterium phage Kimberlium, complete genome	lysogenic	medium quality draft
NC_014229.1 Streptomyces phage phiSASD1, complete genome	lytic	high quality draft
NC_005263.2 Burkholderia phage Bcep1, complete genome	lytic	high quality draft
NC_049384.1 Enterobacter phage EspM4VN DNA, complete genome	lytic	high quality draft
NC_025830.1 Escherichia phage Av-05, complete genome	lytic	high quality draft
NC_054424.1 Arthrobacter phage Litotes, complete genome	lytic	high quality draft
NC_001824.1 Lymphocystis disease virus 1, complete genome	lytic	medium quality draft
NC_029027.1 Sulfolobales virus YNP1 strain SYV1, complete genome	lysogenic	low quality draft
NC_016563.1 Bacillus phage W.Ph., complete genome	lytic	high quality draft
